GeneID	PathwayID	Symbol	ENSEMBL
10327	hsa00010	AKR1A1	ENSG00000117448
124	hsa00010	ADH1A	ENSG00000187758
125	hsa00010	ADH1B	ENSG00000196616
126	hsa00010	ADH1C	ENSG00000248144
127	hsa00010	ADH4	ENSG00000198099
128	hsa00010	ADH5	ENSG00000197894
130	hsa00010	ADH6	ENSG00000172955
130589	hsa00010	GALM	ENSG00000143891
131	hsa00010	ADH7	ENSG00000196344
160287	hsa00010	LDHAL6A	ENSG00000166800
1737	hsa00010	DLAT	ENSG00000150768
1738	hsa00010	DLD	ENSG00000091140
2023	hsa00010	ENO1	ENSG00000074800
2026	hsa00010	ENO2	ENSG00000111674
2027	hsa00010	ENO3	ENSG00000108515
217	hsa00010	ALDH2	ENSG00000111275
218	hsa00010	ALDH3A1	ENSG00000108602
219	hsa00010	ALDH1B1	ENSG00000137124
2203	hsa00010	FBP1	ENSG00000165140
221	hsa00010	ALDH3B1	ENSG00000006534
222	hsa00010	ALDH3B2	ENSG00000132746
223	hsa00010	ALDH9A1	ENSG00000143149
224	hsa00010	ALDH3A2	ENSG00000072210
226	hsa00010	ALDOA	ENSG00000149925
229	hsa00010	ALDOB	ENSG00000136872
230	hsa00010	ALDOC	ENSG00000109107
2538	hsa00010	G6PC1	ENSG00000131482
2597	hsa00010	GAPDH	ENSG00000111640
26330	hsa00010	GAPDHS	ENSG00000105679
2645	hsa00010	GCK	ENSG00000106633
2821	hsa00010	GPI	ENSG00000105220
3098	hsa00010	HK1	ENSG00000156515
3099	hsa00010	HK2	ENSG00000159399
3101	hsa00010	HK3	ENSG00000160883
387712	hsa00010	ENO4	ENSG00000188316
3939	hsa00010	LDHA	ENSG00000134333
3945	hsa00010	LDHB	ENSG00000111716
3948	hsa00010	LDHC	ENSG00000166796
441531	hsa00010	PGAM4	ENSG00000226784
501	hsa00010	ALDH7A1	ENSG00000164904
5105	hsa00010	PCK1	ENSG00000124253
5106	hsa00010	PCK2	ENSG00000100889
