"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6",5.52863751799765,-0.331951163513898,0.394287016730533,-0.84190234379633,0.399842618304156,0.574360664606582
"DPM1",317.959510265103,-0.030163967595068,0.0947721190551723,-0.318278918903436,0.750273373796984,0.850135081031194
"SCYL3",428.616401447203,-0.096690597216793,0.0877056257696438,-1.10244464215725,0.270268412575685,0.447751151423948
"FIRRM",178.707651359847,0.0410969777439512,0.105302296307972,0.390276178059377,0.696332336579929,0.812523146838333
"FGR",6642.86846171718,0.700603811645191,0.15597972190842,4.4916339321116,7.06788317870509e-06,0.000130940638647804
"CFH",139.579352269047,-0.278265941905911,0.255943535710688,-1.08721613590763,0.276941301305377,0.455333734575198
"FUCA2",320.460223973927,0.356009145386508,0.0977957423421232,3.64033379020802,0.000272284828643017,0.0022908933262665
"GCLC",595.165040589275,-0.0183780843228059,0.106200430880533,-0.173050939345808,0.862611387766194,0.920662892381217
"NFYA",785.521655037405,-0.188005172580304,0.0487057752617713,-3.86001806910703,0.000113378641004695,0.00114612965103429
"STPG1",56.6289616819979,-0.249392737573454,0.103036663893291,-2.42042713874874,0.0155022856283121,0.054426333114857
"NIPAL3",1038.63616386724,-0.260869471270158,0.0851653942683104,-3.06309239229608,0.00219062413321328,0.0117479488913916
"LAS1L",479.947296398139,-0.129078472146899,0.0771430420794104,-1.67323544246578,0.0942809556558255,0.210807053776323
"ENPP4",629.301706335513,-0.672130932495594,0.15012822937318,-4.47704562494274,7.56830798625186e-06,0.000138429703183009
"SEMA3F",1.37940708987546,-0.429473532597148,0.709833291477952,-0.605034361945656,0.54515616532861,0.699925076671902
"ANKIB1",1345.29632034481,-0.0602922010095613,0.0306697736311351,-1.96585086459048,0.049315840264501,0.130759374739312
"CYP51A1",37.5983557113704,-0.0930636953186336,0.159122670707566,-0.584855036085117,0.558645194440647,0.710784106170464
"KRIT1",296.949278234772,0.00973593176572635,0.0817531212584303,0.119089419655918,0.905204512981157,0.94550160757629
"RAD52",444.01818657989,0.0322329282463516,0.0910860028007664,0.353873561856207,0.723433641231804,0.830925726484412
